Epoch,Iteration,Time,Loss,LossEpoch,ValidLossEpoch,Alpha,AlphaEpoch,Beta
0,0,0,2.3058221340179443,2.3058221340179443,2.3030056953430176,0.01,0.01,0.001
1,1,0.4205665588378906,2.3335320949554443,nan,nan,0.01,nan,0.001
1,2,0.4607360363006592,2.3207027912139893,nan,nan,0.01,nan,0.001
1,3,0.48247480392456055,2.2980589866638184,nan,nan,0.01,nan,0.001
1,4,0.5043032169342041,2.3218255043029785,nan,nan,0.01,nan,0.001
1,5,0.526137113571167,2.3051352500915527,nan,nan,0.01,nan,0.001
1,6,0.5485155582427979,2.3425257205963135,nan,nan,0.01,nan,0.001
1,7,0.5701379776000977,2.3085739612579346,nan,nan,0.01,nan,0.001
1,8,0.591794490814209,2.3854362964630127,nan,nan,0.01,nan,0.001
1,9,0.6135585308074951,2.316453695297241,nan,nan,0.01,nan,0.001
1,10,0.6352381706237793,2.3175265789031982,nan,nan,0.01,nan,0.001
1,11,0.6568095684051514,2.331228256225586,nan,nan,0.01,nan,0.001
1,12,0.678464412689209,2.317145824432373,nan,nan,0.01,nan,0.001
1,13,0.7002482414245605,2.2965381145477295,nan,nan,0.01,nan,0.001
1,14,0.7219955921173096,2.3335225582122803,nan,nan,0.01,nan,0.001
1,15,0.7435944080352783,2.3000452518463135,nan,nan,0.01,nan,0.001
1,16,0.7653412818908691,2.306157350540161,nan,nan,0.01,nan,0.001
1,17,0.7871220111846924,2.3036880493164062,nan,nan,0.01,nan,0.001
1,18,0.8088953495025635,2.321629047393799,nan,nan,0.01,nan,0.001
1,19,0.8305065631866455,2.3004729747772217,nan,nan,0.01,nan,0.001
1,20,0.8522830009460449,2.315699577331543,nan,nan,0.01,nan,0.001
1,21,0.8739750385284424,2.3066492080688477,nan,nan,0.01,nan,0.001
1,22,0.8957476615905762,2.272451639175415,nan,nan,0.01,nan,0.001
1,23,0.9174144268035889,2.3249568939208984,nan,nan,0.01,nan,0.001
1,24,0.9391412734985352,2.2936089038848877,nan,nan,0.01,nan,0.001
