Epoch,Iteration,Time,Loss,LossEpoch,ValidLossEpoch,Alpha,AlphaEpoch,Beta
0,0,0,2.3058221340179443,2.3058221340179443,2.3030056953430176,0.0001,0.0001,1e-08
1,1,0.543224573135376,2.3335320949554443,nan,nan,0.0001,nan,1e-08
1,2,0.6062562465667725,2.305978775024414,nan,nan,0.0001,nan,1e-08
1,3,0.6430160999298096,2.2945117950439453,nan,nan,0.0001,nan,1e-08
1,4,0.6910190582275391,2.3106296062469482,nan,nan,0.0001,nan,1e-08
1,5,0.7310552597045898,2.2950356006622314,nan,nan,0.0001,nan,1e-08
1,6,0.7710418701171875,2.32810378074646,nan,nan,0.0001,nan,1e-08
1,7,0.811049222946167,2.291245937347412,nan,nan,0.0001,nan,1e-08
1,8,0.8369326591491699,2.3558225631713867,nan,nan,0.0001,nan,1e-08
1,9,0.876265287399292,2.29421329498291,nan,nan,0.0001,nan,1e-08
1,10,0.9038393497467041,2.300010919570923,nan,nan,0.0001,nan,1e-08
1,11,0.9430074691772461,2.3138835430145264,nan,nan,0.0001,nan,1e-08
1,12,0.9898042678833008,2.283965826034546,nan,nan,0.0001,nan,1e-08
1,13,1.038752794265747,2.2525956630706787,nan,nan,0.0001,nan,1e-08
1,14,1.0867767333984375,2.28332257270813,nan,nan,0.0001,nan,1e-08
1,15,1.1109950542449951,2.293205499649048,nan,nan,0.0001,nan,1e-08
1,16,1.1516053676605225,2.2850263118743896,nan,nan,0.0001,nan,1e-08
1,17,1.1910483837127686,2.249706745147705,nan,nan,0.0001,nan,1e-08
1,18,1.21522855758667,2.3022959232330322,nan,nan,0.0001,nan,1e-08
1,19,1.2550652027130127,2.255336284637451,nan,nan,0.0001,nan,1e-08
1,20,1.2825188636779785,2.2600197792053223,nan,nan,0.0001,nan,1e-08
1,21,1.3203370571136475,2.2416434288024902,nan,nan,0.0001,nan,1e-08
1,22,1.3668591976165771,2.2152416706085205,nan,nan,0.0001,nan,1e-08
1,23,1.3910107612609863,2.2986834049224854,nan,nan,0.0001,nan,1e-08
1,24,1.4411959648132324,2.2592613697052,nan,nan,0.0001,nan,1e-08
1,25,1.4910306930541992,2.2679882049560547,nan,nan,0.0001,nan,1e-08
1,26,1.5268096923828125,2.2475745677948,nan,nan,0.0001,nan,1e-08
1,27,1.5553898811340332,2.2144699096679688,nan,nan,0.0001,nan,1e-08
1,28,1.5797762870788574,2.2457127571105957,nan,nan,0.0001,nan,1e-08
1,29,1.6190760135650635,2.2146193981170654,nan,nan,0.0001,nan,1e-08
1,30,1.6558527946472168,2.2482051849365234,nan,nan,0.0001,nan,1e-08
1,31,1.6881401538848877,2.229423999786377,nan,nan,0.0001,nan,1e-08
1,32,1.7255988121032715,2.211540460586548,nan,nan,0.0001,nan,1e-08
1,33,1.7497804164886475,2.233463764190674,nan,nan,0.0001,nan,1e-08
1,34,1.773740530014038,2.1891424655914307,nan,nan,0.0001,nan,1e-08
1,35,1.8122637271881104,2.22025203704834,nan,nan,0.0001,nan,1e-08
1,36,1.8434343338012695,2.175433874130249,nan,nan,0.0001,nan,1e-08
1,37,1.8747048377990723,2.205223321914673,nan,nan,0.0001,nan,1e-08
1,38,1.9147396087646484,2.1837596893310547,nan,nan,0.0001,nan,1e-08
1,39,1.9401423931121826,2.208289623260498,nan,nan,0.0001,nan,1e-08
1,40,1.9720213413238525,2.191056966781616,nan,nan,0.0001,nan,1e-08
1,41,2.004814863204956,2.1487882137298584,nan,nan,0.0001,nan,1e-08
1,42,2.0289108753204346,2.1834959983825684,nan,nan,0.0001,nan,1e-08
1,43,2.0534043312072754,2.1414787769317627,nan,nan,0.0001,nan,1e-08
1,44,2.091912269592285,2.0969595909118652,nan,nan,0.0001,nan,1e-08
1,45,2.142815113067627,2.1183347702026367,nan,nan,0.0001,nan,1e-08
1,46,2.1669952869415283,2.0874345302581787,nan,nan,0.0001,nan,1e-08
1,47,2.2195041179656982,2.166727066040039,nan,nan,0.0001,nan,1e-08
1,48,2.260343313217163,2.148580551147461,nan,nan,0.0001,nan,1e-08
1,49,2.3062846660614014,2.0532548427581787,nan,nan,0.0001,nan,1e-08
1,50,2.3356199264526367,2.0963804721832275,nan,nan,0.0001,nan,1e-08
1,51,2.3602304458618164,2.0599398612976074,nan,nan,0.0001,nan,1e-08
1,52,2.384197950363159,2.042102336883545,nan,nan,0.0001,nan,1e-08
1,53,2.4229254722595215,2.0609846115112305,nan,nan,0.0001,nan,1e-08
1,54,2.4603095054626465,2.01485538482666,nan,nan,0.0001,nan,1e-08
1,55,2.4872031211853027,2.0987589359283447,nan,nan,0.0001,nan,1e-08
1,56,2.5325241088867188,2.006329298019409,nan,nan,0.0001,nan,1e-08
1,57,2.5667614936828613,1.9808815717697144,nan,nan,0.0001,nan,1e-08
1,58,2.613631248474121,2.06386399269104,nan,nan,0.0001,nan,1e-08
1,59,2.656292200088501,1.9956458806991577,nan,nan,0.0001,nan,1e-08
1,60,2.7043111324310303,2.060054063796997,nan,nan,0.0001,nan,1e-08
1,61,2.7284984588623047,2.0341811180114746,nan,nan,0.0001,nan,1e-08
1,62,2.7525150775909424,1.9568241834640503,nan,nan,0.0001,nan,1e-08
1,63,2.7920126914978027,1.975888729095459,nan,nan,0.0001,nan,1e-08
1,64,2.822751522064209,1.9422587156295776,nan,nan,0.0001,nan,1e-08
1,65,2.8471248149871826,2.008713960647583,nan,nan,0.0001,nan,1e-08
1,66,2.874776840209961,1.9494667053222656,nan,nan,0.0001,nan,1e-08
1,67,2.926969528198242,1.8800103664398193,nan,nan,0.0001,nan,1e-08
1,68,2.954108476638794,1.876401424407959,nan,nan,0.0001,nan,1e-08
1,69,2.9782352447509766,1.8511933088302612,nan,nan,0.0001,nan,1e-08
1,70,3.002201795578003,1.953749656677246,nan,nan,0.0001,nan,1e-08
1,71,3.044276237487793,1.8288350105285645,nan,nan,0.0001,nan,1e-08
1,72,3.0683858394622803,1.8676735162734985,nan,nan,0.0001,nan,1e-08
1,73,3.1147797107696533,1.8554247617721558,nan,nan,0.0001,nan,1e-08
1,74,3.172271966934204,1.8879982233047485,nan,nan,0.0001,nan,1e-08
1,75,3.2150604724884033,1.971724271774292,nan,nan,0.0001,nan,1e-08
1,76,3.2391183376312256,1.9411739110946655,nan,nan,0.0001,nan,1e-08
1,77,3.2768073081970215,1.8474169969558716,nan,nan,0.0001,nan,1e-08
1,78,3.300854444503784,1.8171141147613525,nan,nan,0.0001,nan,1e-08
1,79,3.325261116027832,1.8855628967285156,nan,nan,0.0001,nan,1e-08
1,80,3.358590841293335,1.8629704713821411,nan,nan,0.0001,nan,1e-08
1,81,3.3826324939727783,1.7953903675079346,nan,nan,0.0001,nan,1e-08
1,82,3.406578779220581,1.8849798440933228,nan,nan,0.0001,nan,1e-08
1,83,3.4430031776428223,1.7750236988067627,nan,nan,0.0001,nan,1e-08
1,84,3.4855053424835205,1.8324377536773682,nan,nan,0.0001,nan,1e-08
1,85,3.515474796295166,1.8556276559829712,nan,nan,0.0001,nan,1e-08
1,86,3.5508439540863037,1.8436999320983887,nan,nan,0.0001,nan,1e-08
1,87,3.575838327407837,1.7886521816253662,nan,nan,0.0001,nan,1e-08
1,88,3.5998497009277344,1.8855739831924438,nan,nan,0.0001,nan,1e-08
1,89,3.6238925457000732,1.8419946432113647,nan,nan,0.0001,nan,1e-08
1,90,3.6479806900024414,1.9048242568969727,nan,nan,0.0001,nan,1e-08
1,91,3.6721999645233154,1.8468847274780273,nan,nan,0.0001,nan,1e-08
1,92,3.698748826980591,1.9246019124984741,nan,nan,0.0001,nan,1e-08
1,93,3.722839832305908,1.84119713306427,nan,nan,0.0001,nan,1e-08
1,94,3.7547872066497803,1.8113688230514526,nan,nan,0.0001,nan,1e-08
1,95,3.7788643836975098,1.882035493850708,nan,nan,0.0001,nan,1e-08
1,96,3.8028624057769775,1.8164807558059692,nan,nan,0.0001,nan,1e-08
1,97,3.827082633972168,1.88581120967865,nan,nan,0.0001,nan,1e-08
1,98,3.85479998588562,1.8953857421875,nan,nan,0.0001,nan,1e-08
1,99,3.8791697025299072,1.8118535280227661,nan,nan,0.0001,nan,1e-08
1,100,3.903918504714966,1.848301887512207,nan,nan,0.0001,nan,1e-08
1,101,3.9427859783172607,1.7488912343978882,nan,nan,0.0001,nan,1e-08
1,102,3.975262403488159,1.7238885164260864,nan,nan,0.0001,nan,1e-08
1,103,4.024165630340576,1.7786720991134644,nan,nan,0.0001,nan,1e-08
1,104,4.076181411743164,1.849215030670166,nan,nan,0.0001,nan,1e-08
1,105,4.100273847579956,1.8368003368377686,nan,nan,0.0001,nan,1e-08
1,106,4.141833782196045,1.8375910520553589,nan,nan,0.0001,nan,1e-08
1,107,4.177917718887329,1.8179317712783813,nan,nan,0.0001,nan,1e-08
1,108,4.214524984359741,1.832808494567871,nan,nan,0.0001,nan,1e-08
1,109,4.250432252883911,1.731583595275879,nan,nan,0.0001,nan,1e-08
1,110,4.2867348194122314,1.7913484573364258,nan,nan,0.0001,nan,1e-08
1,111,4.322386741638184,1.7808359861373901,nan,nan,0.0001,nan,1e-08
1,112,4.358786344528198,1.7546923160552979,nan,nan,0.0001,nan,1e-08
1,113,4.395264625549316,1.7419828176498413,nan,nan,0.0001,nan,1e-08
1,114,4.426804780960083,1.891463279724121,nan,nan,0.0001,nan,1e-08
1,115,4.480160236358643,1.7535014152526855,nan,nan,0.0001,nan,1e-08
1,116,4.530953645706177,1.8843759298324585,nan,nan,0.0001,nan,1e-08
1,117,4.5709922313690186,1.7277085781097412,nan,nan,0.0001,nan,1e-08
1,118,4.595186710357666,1.8380557298660278,nan,nan,0.0001,nan,1e-08
1,119,4.650942802429199,1.8024758100509644,nan,nan,0.0001,nan,1e-08
1,120,4.686730146408081,1.7735692262649536,nan,nan,0.0001,nan,1e-08
